Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,Bachelors,97500.00,212500.00,61%
2,Operations Research & Industrial Engineering,Bachelors,98300.00,191800.00,21%
3,Interaction Design,Bachelors,74700.00,173600.00,54%
4,Applied Economics and Management,Bachelors,76500.00,164400.00,54%
5,Building Science,Bachelors,69000.00,163100.00,47%
6,Actuarial Mathematics,Bachelors,70700.00,160000.00,52%
6,Operations Research,Bachelors,92200.00,160000.00,57%
8,Systems Engineering,Bachelors,87000.00,159100.00,58%
9,Optical Science & Engineering,Bachelors,79600.00,158300.00,73%
10,Information & Computer Science,Bachelors,76000.00,157800.00,63%
11,Aeronautics & Astronautics,Bachelors,88200.00,156900.00,56%
12,Aerospace Studies,Bachelors,62600.00,154300.00,-
13,Pharmacy,Bachelors,69400.00,154000.00,79%
14,Cognitive Science,Bachelors,78000.00,153800.00,43%
15,Managerial Economics,Bachelors,74700.00,153300.00,38%
16,Quantitative Economics,Bachelors,74500.00,152700.00,43%
17,Econometrics,Bachelors,72000.00,152100.00,35%
18,Foreign Affairs,Bachelors,62900.00,152000.00,32%
19,Chemical Engineering,Bachelors,85600.00,151800.00,55%
20,Public Accounting,Bachelors,69700.00,151200.00,47%
21,Political Economy,Bachelors,73100.00,150600.00,31%
22,Corporate Accounting & Finance,Bachelors,76800.00,149600.00,50%
23,Actuarial Science,Bachelors,76700.00,149000.00,42%
24,Computer Engineering (CE),Bachelors,89100.00,148500.00,46%
25,Electrical Power Engineering,Bachelors,84700.00,148300.00,72%
26,Computer Science (CS) & Engineering,Bachelors,90500.00,148200.00,44%
27,Marine Transportation Management,Bachelors,78700.00,148000.00,-
28,Marine Engineering,Bachelors,87900.00,147500.00,57%
28,Operations & Information Systems Management,Bachelors,78800.00,147500.00,24%
30,Electrical & Computer Engineering (ECE),Bachelors,88100.00,147000.00,49%
31,Entrepreneurship & Marketing,Bachelors,63200.00,145800.00,45%
32,Astronomy,Bachelors,75300.00,145600.00,52%
33,Mechatronics,Bachelors,80900.00,144300.00,46%
34,Computational & Applied Mathematics,Bachelors,85700.00,144100.00,46%
35,Aeronautical Engineering,Bachelors,84200.00,143400.00,63%
36,Welding Engineering,Bachelors,86600.00,143300.00,-
37,Electrical Engineering (EE),Bachelors,84900.00,143000.00,54%
38,Electrical & Electronics Engineering (EEE),Bachelors,83900.00,142900.00,57%
39,Naval Architecture & Marine Engineering,Bachelors,82800.00,142800.00,49%
40,Instrumentation & Control Engineering,Bachelors,82800.00,141900.00,44%
41,Construction Engineering Management,Bachelors,78100.00,141800.00,53%
42,Computer Science (CS) & Mathematics,Bachelors,80300.00,141000.00,44%
43,Engineering Physics,Bachelors,78600.00,140300.00,48%
44,Mechanical & Aeronautical Engineering,Bachelors,80900.00,139900.00,62%
45,Chemical & Biomolecular Engineering,Bachelors,86000.00,139700.00,51%
45,Computer Science (CS),Bachelors,85400.00,139700.00,42%
47,Jazz Studies,Bachelors,60000.00,139400.00,51%
48,Bioscience,Bachelors,59900.00,139300.00,-
49,Information Management,Bachelors,67000.00,139000.00,33%
50,Aerospace Engineering,Bachelors,83500.00,138100.00,53%
51,Ocean Engineering (OE),Bachelors,78500.00,137800.00,49%
51,Pharmacology,Bachelors,63500.00,137800.00,-
53,Nuclear Engineering,Bachelors,85200.00,137600.00,55%
54,Bioengineering (BioE),Bachelors,79500.00,137300.00,67%
55,Applied Mathematics,Bachelors,77200.00,137000.00,40%
56,Paper Science,Bachelors,84900.00,136500.00,43%
56,Physician Assistant Studies,Bachelors,109600.00,136500.00,83%
58,Materials Science,Bachelors,76700.00,136200.00,-
59,Engineering,Bachelors,77800.00,135800.00,58%
60,Industrial & Systems Engineering,Bachelors,82000.00,135700.00,48%
61,Metallurgical Engineering,Bachelors,90800.00,135500.00,63%
62,Materials Science & Engineering,Bachelors,81200.00,135300.00,47%
63,Mining Engineering,Bachelors,87400.00,135200.00,59%
64,Operations Management & Information Systems,Bachelors,75900.00,134900.00,43%
65,Business & Information Technology (IT),Bachelors,71400.00,134700.00,50%
66,Interactive Media Design,Bachelors,59600.00,134400.00,33%
67,Energy Management,Bachelors,70100.00,134100.00,66%
67,Physics,Bachelors,75500.00,134100.00,49%
69,Materials Engineering,Bachelors,81200.00,133900.00,58%
70,Biomedical Engineering (BME),Bachelors,80300.00,133500.00,71%
71,Industrial Engineering (IE),Bachelors,80500.00,133400.00,44%
71,Software Engineering,Bachelors,84200.00,133400.00,45%
73,Global & International Studies,Bachelors,59400.00,133300.00,55%
74,Computer & Information Science,Bachelors,72600.00,133100.00,58%
75,Aeronautical/Aerospace Engineering Technology,Bachelors,82400.00,132800.00,51%
76,Economics and Mathematics,Bachelors,77100.00,132700.00,38%
76,Industrial Hygiene,Bachelors,65100.00,132700.00,54%
78,Engineering Mechanics,Bachelors,82800.00,131900.00,-
79,Business & Economics,Bachelors,66500.00,131700.00,44%
80,Astrophysics,Bachelors,78600.00,131200.00,61%
81,Electronics Engineering,Bachelors,77700.00,130900.00,65%
81,Telecommunications Engineering,Bachelors,78000.00,130900.00,50%
83,International Business & Finance,Bachelors,69000.00,130800.00,30%
84,International Economics,Bachelors,66200.00,130600.00,54%
85,Business Analysis,Bachelors,71000.00,130300.00,47%
85,Management Science,Bachelors,73000.00,130300.00,43%
85,Mechanical Engineering (ME),Bachelors,79600.00,130300.00,49%
88,Economics,Bachelors,70500.00,130200.00,41%
89,Ceramic Engineering,Bachelors,76400.00,129900.00,46%
90,Management Information Systems (MIS),Bachelors,73900.00,129500.00,42%
91,Industrial Distribution,Bachelors,71400.00,129200.00,48%
92,Structural Engineering (SE),Bachelors,76200.00,128900.00,67%
93,Accounting & Taxation,Bachelors,61900.00,128600.00,-
94,Integrated Science & Technology,Bachelors,71600.00,128400.00,55%
95,Automotive Engineering,Bachelors,75700.00,128300.00,50%
96,Mathematics & Statistics,Bachelors,71800.00,128100.00,43%
97,Packaging Science,Bachelors,78600.00,127600.00,41%
98,Construction Project Management,Bachelors,69400.00,127400.00,64%
99,Plastics Engineering,Bachelors,79200.00,127200.00,58%
100,Information & Decision Sciences,Bachelors,73200.00,126800.00,36%
